A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-1.39653E+002	-2.58797E+001	5.75213E+002	1.08463E+002	-1.70293E+001	7.01926E+000
-5.51775E+001	1.09867E+002	2.83700E+002	9.44853E+001	-1.31230E+001	-2.92978E+000
-5.81072E+001	2.77352E+002	-2.88095E+001	6.97043E+001	-7.44652E+000	-1.26957E+001
-1.39653E+002	3.42784E+002	-1.73833E+002	1.68462E+001	4.82192E+000	-1.33671E+001
-1.14261E+002	1.82134E+002	6.49434E+001	-4.87686E+001	2.01422E+001	-1.83111E-001
-5.17594E+001	-4.15052E+001	6.29414E+002	-9.83306E+001	3.50352E+001	3.78430E+000
-2.35359E+002	-1.95318E+002	1.05374E+003	-1.09073E+002	2.83822E+001	-1.28788E+001
-2.09967E+002	-2.28523E+002	1.40580E+003	-9.24100E+001	1.48930E+001	-1.42827E+001
-2.48054E+002	-1.93854E+002	1.68023E+003	-8.27662E+001	8.05689E+000	-1.28788E+001
-1.79205E+002	-3.12998E+002	2.12604E+003	-6.43941E+001	1.67241E+001	6.59200E+000
-4.73647E+001	-3.61339E+002	2.10553E+003	-3.29600E+000	4.45570E+000	1.07425E+001
-7.22678E+001	-2.88095E+002	1.66997E+003	6.12812E+001	-2.76498E+001	-8.66726E+000
-1.32817E+002	-1.48930E+002	1.12162E+003	1.01138E+002	-3.41807E+001	-1.42216E+001
-1.49419E+002	4.88296E+000	6.27461E+002	1.09317E+002	-2.75277E+001	-1.23295E+001
-1.34770E+002	1.52837E+002	2.59285E+002	8.22779E+001	-2.37434E+001	-1.22074E+001
-1.22562E+002	1.90435E+002	2.23640E+002	3.59508E+001	-1.96539E+001	-1.49541E+001
-1.27445E+002	1.65532E+002	1.76763E+002	-2.62459E+000	-1.83111E+000	-9.58281E+000
-1.53325E+002	2.92978E+001	3.09091E+002	-4.41298E+001	7.69066E+000	-5.18815E+000
-1.68950E+002	-9.76592E+001	6.61153E+002	-8.52077E+001	2.00201E+001	2.38044E+000
-4.78530E+001	-1.34281E+002	1.05472E+003	-9.64995E+001	1.56255E+001	3.11289E+000
-7.12912E+001	-2.27546E+002	1.55766E+003	-1.03702E+002	1.86163E+001	-1.89215E+000
-1.42582E+002	-3.66222E+002	1.96735E+003	-7.83105E+001	2.27058E+001	1.22074E-001
-1.15726E+002	-3.85266E+002	2.00201E+003	-2.30720E+001	8.48415E+000	2.13630E+000
-9.47295E+001	-3.20322E+002	1.68218E+003	3.94910E+001	-1.34892E+001	-3.41807E+000
-1.19144E+002	-2.24616E+002	1.31400E+003	7.87378E+001	-1.99591E+001	-9.82696E+000
-1.97760E+002	-1.14750E+002	9.25810E+002	9.85748E+001	-2.34382E+001	-1.43437E+001
-1.79693E+002	4.88296E+000	5.30290E+002	9.92462E+001	-2.86874E+001	-8.72829E+000
-1.04007E+002	1.43071E+002	2.60750E+002	6.15864E+001	-2.28278E+001	1.28178E+000
-3.41807E+001	1.75787E+002	1.92389E+002	1.31840E+001	-1.17191E+001	3.05185E+000
7.91040E+001	1.31840E+002	2.19245E+002	-2.42927E+001	-4.94400E+000	3.54015E+000
3.46690E+001	-2.34382E+001	4.56557E+002	-6.33564E+001	1.26957E+001	-1.95318E+000
-1.70415E+002	-1.84088E+002	9.71709E+002	-1.09622E+002	3.58287E+001	-5.06607E+000
-2.92978E+002	-3.56944E+002	1.64165E+003	-1.17862E+002	3.34483E+001	2.44148E-001
-2.19245E+002	-4.56069E+002	2.09088E+003	-7.69677E+001	2.53914E+001	1.36113E+001
-6.10370E+001	-4.17982E+002	2.04498E+003	-6.65304E+000	3.72326E+000	1.43437E+001
-6.59200E+001	-3.03232E+002	1.63140E+003	6.06098E+001	-2.14850E+001	2.13630E+000
-1.24516E+002	-2.01178E+002	1.16556E+003	9.79644E+001	-2.92978E+001	-7.08029E+000
-1.88971E+002	-7.27561E+001	7.26585E+002	1.09928E+002	-2.84433E+001	-5.37126E+000
-1.01077E+002	8.49635E+001	3.42296E+002	9.39360E+001	-2.83822E+001	4.33363E+000
-3.32041E+001	1.73833E+002	2.04596E+002	4.94400E+001	-2.08136E+001	2.07526E+000
-1.46489E+001	1.96295E+002	7.56859E+001	9.88800E+000	-1.42216E+001	-1.70904E+000
1.85553E+001	8.39869E+001	1.68462E+002	-4.17493E+001	-6.71407E-001	-9.76592E-001
-9.91241E+001	-9.76592E+001	6.55782E+002	-9.80255E+001	2.44758E+001	-5.49333E-001
-2.08502E+002	-2.65145E+002	1.34233E+003	-1.23234E+002	3.34483E+001	-2.44148E-001
-1.75298E+002	-3.80871E+002	1.87164E+003	-9.86358E+001	2.56355E+001	7.38548E+000
-3.12510E+001	-4.04309E+002	2.05231E+003	-4.24207E+001	7.99585E+000	1.07425E+001
-4.05286E+001	-3.60363E+002	1.88336E+003	1.66021E+001	-2.44148E+000	3.05185E+000
-5.61541E+001	-2.61727E+002	1.46733E+003	6.99484E+001	-1.81280E+001	-2.44148E+000
-9.96124E+001	-1.58696E+002	1.03616E+003	9.93072E+001	-3.08237E+001	-9.46074E+000
-8.78933E+001	-1.75787E+001	5.97186E+002	1.03092E+002	-2.69784E+001	-7.14133E+000
-4.05286E+001	1.22562E+002	3.01279E+002	7.24509E+001	-1.55034E+001	1.22074E+000
2.58797E+001	1.97272E+002	1.99225E+002	2.60628E+001	-9.09452E+000	-1.22074E+000
-9.76592E-001	1.67486E+002	1.23539E+002	-1.39775E+001	-1.15970E+000	-1.01321E+001
-9.27763E+001	-8.78933E+000	3.93078E+002	-6.28681E+001	1.95318E+001	-9.27763E+000
-2.63192E+002	-2.00201E+002	9.42412E+002	-1.10355E+002	4.43129E+001	-3.72326E+000
-3.23252E+002	-3.08603E+002	1.41704E+003	-1.05289E+002	2.42317E+001	0.00000E+000
-1.34770E+002	-3.01279E+002	1.57036E+003	-7.23899E+001	-2.44148E+000	1.17801E+001
5.85955E+000	-3.88684E+002	1.87017E+003	-5.60930E+001	4.08948E+000	1.69683E+001
1.36723E+001	-4.61440E+002	1.96344E+003	-1.30009E+001	1.12308E+001	1.27567E+001
-1.70904E+001	-3.65734E+002	1.60845E+003	5.69475E+001	-1.15360E+001	-2.50252E+000
-7.22678E+001	-2.22663E+002	1.16507E+003	1.04434E+002	-3.33262E+001	-1.56865E+001
-1.21097E+002	-8.83816E+001	7.47093E+002	1.16153E+002	-2.45369E+001	-1.20853E+001
-1.19633E+002	6.98263E+001	3.82336E+002	1.00101E+002	-1.10477E+001	3.05185E-001
-2.92978E+000	1.77740E+002	2.46590E+002	5.66424E+001	-8.48415E+000	9.76592E-001
-3.27158E+001	1.80670E+002	1.06937E+002	1.53203E+001	-6.10370E-001	-1.37944E+001
