A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-2.44148E+000	-4.88296E+000	1.02249E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-3.90637E+000	-3.41807E+000	1.02152E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-2.44148E+000	-3.90637E+000	1.01956E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-5.37126E+000	-2.44148E+000	1.02054E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-4.39467E+000	-4.88296E+000	1.02005E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-4.88296E+000	-3.90637E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-3.41807E+000	-3.41807E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-3.90637E+000	-3.41807E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-2.92978E+000	-3.41807E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-3.90637E+000	-3.90637E+000	1.02152E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-5.37126E+000	-4.88296E+000	1.02005E+003	3.05185E-001	-6.10370E-001	-4.27259E-001
-4.88296E+000	-4.39467E+000	1.02054E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-4.88296E+000	-2.92978E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-3.41807E+000	-3.41807E+000	1.02054E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-2.44148E+000	-4.88296E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-3.41807E+000	-4.39467E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-4.39467E+000	-4.88296E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-6.34785E+000	-3.90637E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-5.37126E+000	-2.92978E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-4.39467E+000	-3.90637E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-2.92978E+000	-4.39467E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-3.90637E+000	-3.90637E+000	1.02152E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-4.39467E+000	-3.41807E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-5.37126E+000	-3.41807E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
-4.39467E+000	-2.92978E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-4.88296E+000	-4.39467E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-3.90637E+000	-4.39467E+000	1.02152E+003	3.05185E-001	-6.71407E-001	-4.27259E-001
-3.90637E+000	-4.39467E+000	1.02103E+003	3.05185E-001	-6.10370E-001	-4.27259E-001
-3.41807E+000	-3.41807E+000	1.02103E+003	3.66222E-001	-6.10370E-001	-4.27259E-001
-3.90637E+000	-3.41807E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
