A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-1.26957E+001	-9.76592E+000	1.02103E+003	3.66222E-001	-6.10370E-001	-3.66222E-001
-1.36723E+001	-9.27763E+000	1.02054E+003	3.66222E-001	-6.10370E-001	-3.66222E-001
-1.41606E+001	-9.27763E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.22074E+001	-9.27763E+000	1.02152E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.22074E+001	-9.27763E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-8.78933E+000	1.02005E+003	3.05185E-001	-6.10370E-001	-3.66222E-001
-1.36723E+001	-9.76592E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.36723E+001	-9.27763E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-8.30103E+000	1.02054E+003	2.44148E-001	-6.71407E-001	-3.66222E-001
-1.26957E+001	-1.07425E+001	1.02005E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-8.30103E+000	1.02054E+003	3.05185E-001	-6.10370E-001	-3.66222E-001
-1.22074E+001	-8.78933E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-9.76592E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.22074E+001	-9.27763E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.41606E+001	-9.27763E+000	1.02054E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.26957E+001	-9.27763E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.26957E+001	-8.78933E+000	1.02054E+003	3.05185E-001	-6.10370E-001	-3.66222E-001
-1.31840E+001	-8.78933E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.36723E+001	-9.27763E+000	1.02103E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-9.27763E+000	1.02005E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.46489E+001	-9.27763E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-9.27763E+000	1.02005E+003	3.05185E-001	-6.10370E-001	-3.66222E-001
-1.26957E+001	-8.78933E+000	1.02054E+003	3.05185E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-9.27763E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-8.78933E+000	1.02054E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.26957E+001	-9.76592E+000	1.02103E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.46489E+001	-1.02542E+001	1.02054E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.36723E+001	-1.02542E+001	1.02054E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-1.31840E+001	-8.30103E+000	1.02054E+003	3.66222E-001	-6.10370E-001	-3.66222E-001
-1.26957E+001	-9.27763E+000	1.02054E+003	3.05185E-001	-6.10370E-001	-3.66222E-001
-1.17191E+001	-8.78933E+000	1.02152E+003	3.05185E-001	-6.10370E-001	-3.66222E-001
-1.31840E+001	-9.76592E+000	1.02054E+003	3.66222E-001	-6.71407E-001	-3.66222E-001
-6.34785E+000	-3.22275E+001	1.02054E+003	3.66222E-001	-6.71407E-001	1.83111E-001
1.46489E+000	-5.85955E+000	1.02152E+003	2.44148E-001	-7.32444E-001	1.27567E+001
-7.32444E+000	7.32444E+000	1.02347E+003	2.44148E-001	-9.15555E-001	1.51982E+001
-1.75787E+001	-1.66021E+001	1.02103E+003	7.32444E-001	-3.66222E-001	1.05594E+001
-5.81072E+001	3.46690E+001	1.02103E+003	-9.76592E-001	-9.15555E-001	4.08948E+000
-4.88296E+001	-2.14850E+001	1.03763E+003	-3.78430E+000	-1.28178E+000	-1.34892E+001
2.44148E+001	-4.34584E+001	1.01663E+003	-8.78933E+000	-1.22074E-001	-6.46992E+000
-4.88296E-001	-6.44551E+001	1.02640E+003	-8.85037E+000	-3.66222E-001	-5.79852E+000
-3.22275E+001	-1.66021E+001	1.02347E+003	-1.35502E+001	-3.66222E+000	-5.37126E+000
-2.34382E+001	-2.14850E+001	1.01614E+003	-1.60527E+001	-1.98370E+001	-7.44652E+000
1.90435E+001	-5.66424E+001	1.04056E+003	-1.84942E+001	-3.57677E+001	-5.37126E+000
6.78732E+001	-5.76189E+001	1.03421E+003	-1.90435E+001	-4.07117E+001	-5.43229E+000
5.32243E+001	-1.06449E+002	1.02835E+003	-2.99081E+001	-3.44859E+001	-9.21659E+000
1.56743E+002	-1.18656E+002	9.96124E+002	-3.16782E+001	-2.46590E+001	-6.53096E+000
1.42582E+002	-1.48442E+002	9.95148E+002	-3.48521E+001	-1.22074E+000	-3.96741E+000
8.64284E+001	-1.78228E+002	1.03568E+003	-3.85754E+001	1.06204E+001	0.00000E+000
1.29398E+002	-2.60750E+002	1.09378E+003	-3.93078E+001	2.22785E+001	1.83111E+000
3.66222E+001	-2.80282E+002	9.41435E+002	-1.24516E+001	1.27567E+001	2.80770E+000
1.14750E+002	-1.84088E+002	9.65361E+002	-1.25736E+001	-5.79852E+000	8.05689E+000
3.22275E+001	-2.62215E+002	1.05814E+003	-2.49031E+001	1.51982E+001	-2.74667E+000
2.88095E+001	-2.65633E+002	1.02152E+003	-6.10370E+000	2.59407E+001	-2.99081E+000
2.97861E+001	-2.67586E+002	1.01956E+003	1.12918E+001	1.41606E+001	-1.58696E+000
3.80871E+001	-2.35359E+002	9.86358E+002	1.94708E+001	5.24918E+000	-3.35704E+000
2.19733E+001	-2.19245E+002	9.72198E+002	1.24516E+001	1.03763E+001	-2.07526E+000
4.05286E+001	-2.17292E+002	9.69268E+002	9.27763E+000	1.07425E+001	-1.83111E-001
5.27360E+001	-2.00201E+002	9.68780E+002	9.46074E+000	2.80770E+000	2.74667E+000
4.34584E+001	-1.79693E+002	1.00443E+003	1.18412E+001	-9.58281E+000	1.34281E+000
1.85553E+001	-1.95318E+002	1.02396E+003	1.81890E+001	-8.91140E+000	-1.83111E+000
4.58998E+001	-1.72369E+002	9.98566E+002	1.86773E+001	-8.72829E+000	-1.83111E-001
3.90637E+000	-1.74322E+002	1.05374E+003	7.87378E+000	-3.84533E+000	2.44148E-001
2.88095E+001	-1.71880E+002	1.00150E+003	1.28178E+001	4.51674E+000	1.52593E+000
2.78329E+001	-1.46489E+002	9.90753E+002	1.55034E+001	1.58696E+000	-1.52593E+000
1.70904E+001	-1.49907E+002	1.00638E+003	1.20243E+001	-1.83111E+000	-1.28178E+000
3.66222E+001	-1.27445E+002	1.01907E+003	1.34281E+001	-4.57778E+000	7.32444E-001
4.00403E+001	-1.28910E+002	1.01175E+003	1.11698E+001	-1.95318E+000	-1.52593E+000
1.61138E+001	-1.19633E+002	1.02103E+003	1.13529E+001	-2.86874E+000	-2.13630E+000
1.95318E+001	-1.07425E+002	9.98566E+002	1.25736E+001	2.38044E+000	-7.32444E-001
-8.30103E+000	-9.66826E+001	9.88800E+002	1.28178E+001	3.35704E+000	7.93481E-001
2.58797E+001	-8.10572E+001	1.00687E+003	1.01321E+001	5.73748E+000	3.78430E+000
3.32041E+001	-6.88498E+001	9.57060E+002	1.31230E+001	5.55437E+000	4.27259E+000
-1.41606E+001	-4.15052E+001	9.80010E+002	2.99081E+000	1.89825E+001	2.74667E+000
-6.34785E+000	-7.61742E+001	1.03421E+003	-3.29600E+000	2.06915E+001	3.05185E+000
-5.61541E+001	-6.59200E+001	1.05521E+003	1.04373E+001	9.46074E+000	2.50252E+000
5.85955E+000	-6.73849E+001	1.05521E+003	1.58696E+001	4.51674E+000	6.34785E+000
-6.83615E+000	-1.36723E+001	9.85382E+002	2.71615E+001	-8.78933E+000	2.99081E+000
-3.71105E+001	-1.70904E+001	1.00052E+003	7.93481E+000	9.39970E+000	3.05185E+000
-4.44349E+001	-3.32041E+001	9.81964E+002	-1.64800E+000	1.94098E+001	5.55437E+000
