A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-1.62065E+003	-3.40831E+002	2.96396E+002	4.11390E+001	-4.05408E+002	-2.11798E+001
7.12424E+002	-2.30476E+002	7.69066E+002	2.64290E+001	9.25321E+001	-3.41807E+001
6.87521E+002	1.90435E+001	3.81848E+002	3.63781E+001	2.81625E+002	-1.22074E+001
6.98752E+002	-3.66222E+001	6.79220E+002	9.88800E+000	3.84289E+002	-3.23496E+000
4.81948E+002	-6.98263E+001	6.50899E+002	2.71004E+001	4.68215E+002	-7.50755E+000
-1.68950E+002	-5.85955E+000	6.14277E+002	1.47099E+001	5.05631E+002	-6.10370E+000
-5.41032E+002	-4.83413E+001	7.42698E+002	-9.27763E+000	4.96353E+002	1.62358E+001
-9.31669E+002	-2.71493E+002	9.87335E+002	1.22074E+000	4.05713E+002	3.11289E+000
-1.19681E+003	-2.64657E+002	6.63594E+002	4.69985E+001	2.61788E+002	-3.17392E+000
-1.11966E+003	2.14850E+001	3.13486E+002	4.74258E+001	1.25065E+002	4.69985E+000
-1.05033E+003	9.37529E+001	4.04309E+002	8.42311E+000	-2.74667E+001	2.50252E+000
-6.16230E+002	3.51573E+001	4.67788E+002	-2.61238E+001	-1.97943E+002	2.99081E+000
-3.29112E+002	-1.36235E+002	9.34111E+002	-6.37226E+001	-3.51878E+002	-1.60527E+001
-5.01968E+002	-1.79693E+002	1.15336E+003	-5.63982E+001	-4.58144E+002	-2.48421E+001
-1.51372E+001	-1.17191E+001	7.92993E+002	-1.53813E+001	-5.49699E+002	-3.84533E+001
4.26283E+002	-4.63881E+001	6.32344E+002	-1.52593E+000	-6.03168E+002	-7.27561E+001
5.31755E+002	-2.26081E+002	9.20927E+002	-7.56859E+000	-5.13016E+002	-6.86666E+001
9.83428E+002	-1.70415E+002	7.30979E+002	1.28178E+000	-3.50352E+002	-1.39775E+001
