@relation 'MLC'

@attribute F1_accX_mean numeric
@attribute F2_accX_var numeric
@attribute F3_accX_energy numeric
@attribute F4_accX_pk2pk numeric
@attribute F5_accX_cross numeric
@attribute F6_accX_crossP numeric
@attribute F7_accX_crossN numeric
@attribute F8_accX_peaks numeric
@attribute F9_accX_peaksP numeric
@attribute F10_accX_peaksN numeric
@attribute F11_accX_min numeric
@attribute F12_accX_max numeric
@attribute F13_accY_mean numeric
@attribute F14_accY_var numeric
@attribute F15_accY_energy numeric
@attribute F16_accY_pk2pk numeric
@attribute F17_accY_cross numeric
@attribute F18_accY_crossP numeric
@attribute F19_accY_crossN numeric
@attribute F20_accY_peaks numeric
@attribute F21_accY_peaksP numeric
@attribute F22_accY_peaksN numeric
@attribute F23_accY_min numeric
@attribute F24_accY_max numeric
@attribute F25_accZ_mean numeric
@attribute F26_accZ_var numeric
@attribute F27_accZ_energy numeric
@attribute F28_accZ_pk2pk numeric
@attribute F29_accZ_cross numeric
@attribute F30_accZ_crossP numeric
@attribute F31_accZ_crossN numeric
@attribute F32_accZ_peaks numeric
@attribute F33_accZ_peaksP numeric
@attribute F34_accZ_peaksN numeric
@attribute F35_accZ_min numeric
@attribute F36_accZ_max numeric
@attribute F37_gyrX_mean numeric
@attribute F38_gyrX_var numeric
@attribute F39_gyrX_energy numeric
@attribute F40_gyrX_pk2pk numeric
@attribute F41_gyrX_cross numeric
@attribute F42_gyrX_crossP numeric
@attribute F43_gyrX_crossN numeric
@attribute F44_gyrX_peaks numeric
@attribute F45_gyrX_peaksP numeric
@attribute F46_gyrX_peaksN numeric
@attribute F47_gyrX_min numeric
@attribute F48_gyrX_max numeric
@attribute F49_gyrY_mean numeric
@attribute F50_gyrY_var numeric
@attribute F51_gyrY_energy numeric
@attribute F52_gyrY_pk2pk numeric
@attribute F53_gyrY_cross numeric
@attribute F54_gyrY_crossP numeric
@attribute F55_gyrY_crossN numeric
@attribute F56_gyrY_peaks numeric
@attribute F57_gyrY_peaksP numeric
@attribute F58_gyrY_peaksN numeric
@attribute F59_gyrY_min numeric
@attribute F60_gyrY_max numeric
@attribute F61_gyrZ_mean numeric
@attribute F62_gyrZ_var numeric
@attribute F63_gyrZ_energy numeric
@attribute F64_gyrZ_pk2pk numeric
@attribute F65_gyrZ_cross numeric
@attribute F66_gyrZ_crossP numeric
@attribute F67_gyrZ_crossN numeric
@attribute F68_gyrZ_peaks numeric
@attribute F69_gyrZ_peaksP numeric
@attribute F70_gyrZ_peaksN numeric
@attribute F71_gyrZ_min numeric
@attribute F72_gyrZ_max numeric
@attribute class {0,1}

@data
0.794176, 0.090611, 37.509013, 0.959501, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.051759, 1.011260, 0.227978, 0.183525, 12.245953, 1.111850, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.144047, 0.967803, 0.173871, 0.002642, 1.709418, 0.242683, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.029298, 0.271981, -4.791405, 167.292144, 9892.984875, 53.285300, 7.000000, 4.000000, 3.000000, 0.000000, 0.000000, 0.000000, -35.401500, 17.883800, -3.325345, 26.219151, 1938.407765, 22.644760, 13.000000, 6.000000, 7.000000, 0.000000, 0.000000, 0.000000, -17.273500, 5.371260, 38.969773, 2021.200955, 184071.897262, 123.477780, 7.000000, 3.000000, 4.000000, 0.000000, 0.000000, 0.000000, -6.225780, 117.252000, 0
0.968949, 0.001515, 48.899575, 0.253427, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.767113, 1.020540, -0.158480, 0.010175, 1.835153, 0.457534, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.553728, -0.096194, 0.110965, 0.018762, 1.615897, 0.518082, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.321787, 0.196295, 24.107269, 1483.584027, 107366.710262, 128.543852, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.244148, 128.788000, -19.339335, 1072.661596, 75226.915978, 122.501518, 4.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, -121.647000, 0.854518, 9.159076, 252.982777, 17517.315051, 60.609740, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -1.709040, 58.900700, 0
0.246026, 0.030679, 4.742802, 0.840358, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.054201, 0.894559, -0.944919, 0.006896, 46.787909, 0.400891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.999054, -0.598163, 0.102730, 0.015599, 1.359949, 0.583514, 3.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.359874, 0.223640, 26.373858, 3071.626276, 195894.747029, 209.601410, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -3.967410, 205.634000, -27.247143, 1793.923054, 131889.153499, 161.320556, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -162.053000, -0.732444, 14.444634, 1332.551623, 80142.351093, 150.395000, 12.000000, 6.000000, 6.000000, 0.000000, 0.000000, 0.000000, -19.715000, 130.680000, 0
-0.655209, 0.224987, 34.022886, 1.307661, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -1.098670, 0.208991, -0.434199, 0.179507, 19.137832, 1.045926, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.056180, -0.010254, 0.036040, 0.007056, 0.434468, 0.328135, 4.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, -0.187506, 0.140629, -28.355210, 1488.493227, 119210.581106, 143.254300, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -139.470000, 3.784300, -32.307354, 1298.623678, 121804.217551, 122.012740, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, -119.144000, 2.868740, 38.450973, 2331.958572, 198142.665869, 155.705740, 5.000000, 2.000000, 3.000000, 0.000000, 0.000000, 0.000000, -7.812740, 147.893000, 0
-0.753291, 0.195136, 39.654329, 1.537649, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.015660, 0.521989, -0.046736, 0.007701, 0.514012, 0.376476, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.108890, 0.267586, -0.198915, 0.192592, 12.072280, 1.195833, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -1.042020, 0.153813, -1.042323, 380.804573, 19858.332539, 82.094800, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -47.608900, 34.485900, 54.560057, 4606.986088, 394356.866993, 175.664740, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -6.164740, 169.500000, 2.459086, 73.484973, 4135.668073, 40.772700, 10.000000, 5.000000, 5.000000, 0.000000, 0.000000, 0.000000, -14.648900, 26.123800, 0
0.024086, 0.104225, 5.449879, 1.205603, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.575701, 0.629902, 0.664411, 0.063813, 26.273267, 0.866235, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.153325, 1.019560, 0.323083, 0.285725, 20.285609, 1.774468, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.728538, 1.045930, -60.603900, 397.856552, 211675.840871, 77.578300, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -108.341000, -30.762700, 26.591008, 601.298548, 68035.772456, 126.896000, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -27.222500, 99.673500, -20.610555, 1075.107429, 77994.924158, 120.670200, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -97.109900, 23.560300, 0
-0.110421, 0.032097, 2.303061, 0.814966, 4.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, -0.629902, 0.185064, 0.515528, 0.078052, 17.878693, 0.868679, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.037599, 0.906278, 0.774719, 0.034669, 33.012684, 0.592300, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.464370, 1.056670, 22.570785, 791.205109, 67633.562889, 148.381000, 3.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, -59.328000, 89.053000, -13.648824, 2867.835937, 158814.569116, 268.440600, 9.000000, 4.000000, 5.000000, 0.000000, 0.000000, 0.000000, -213.019000, 55.421600, 4.767931, 210.109626, 12107.825037, 60.060400, 7.000000, 4.000000, 3.000000, 0.000000, 0.000000, 0.000000, -23.560300, 36.500100, 0
-0.007672, 0.006356, 0.333578, 0.452163, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -0.233406, 0.218757, 0.966498, 0.001329, 48.643262, 0.167486, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.873074, 1.040560, 0.133098, 0.012503, 1.571319, 0.522477, 3.000000, 1.000000, 2.000000, 0.000000, 0.000000, 0.000000, -0.046388, 0.476089, 10.609879, 1028.857542, 59354.207385, 160.954300, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -48.280300, 112.674000, 2.202028, 399.826606, 21043.127819, 99.368300, 9.000000, 5.000000, 4.000000, 0.000000, 0.000000, 0.000000, -32.166500, 67.201800, -1.731337, 347.105028, 18205.332844, 78.737700, 7.000000, 3.000000, 4.000000, 0.000000, 0.000000, 0.000000, -42.603800, 36.133900, 0
0.041890, 0.076221, 4.054726, 1.057650, 15.000000, 8.000000, 7.000000, 0.000000, 0.000000, 0.000000, -0.373547, 0.684103, 0.966836, 0.455762, 72.307800, 2.290600, 6.000000, 3.000000, 3.000000, 2.000000, 2.000000, 0.000000, -0.060060, 2.230540, 0.089950, 0.064368, 3.767874, 0.871121, 15.000000, 7.000000, 8.000000, 0.000000, 0.000000, 0.000000, -0.375500, 0.495621, -2.068217, 410.379649, 21562.172976, 87.832300, 15.000000, 8.000000, 7.000000, 0.000000, 0.000000, 0.000000, -49.745200, 38.087100, 0.748875, 666.165948, 34669.791639, 86.184300, 14.000000, 7.000000, 7.000000, 0.000000, 0.000000, 0.000000, -41.566200, 44.618100, 2.497814, 3038.751630, 158339.516582, 205.633700, 14.000000, 7.000000, 7.000000, 0.000000, 0.000000, 0.000000, -88.503700, 117.130000, 0
0.036359, 0.088744, 4.683444, 1.006378, 15.000000, 7.000000, 8.000000, 0.000000, 0.000000, 0.000000, -0.359874, 0.646504, 0.940082, 0.354518, 64.390220, 2.155338, 4.000000, 2.000000, 2.000000, 1.000000, 1.000000, 0.000000, -0.023438, 2.131900, 0.125567, 0.133372, 7.755217, 1.463912, 15.000000, 8.000000, 7.000000, 0.000000, 0.000000, 0.000000, -0.675314, 0.788598, 2.318231, 1594.683254, 83202.987365, 183.538300, 15.000000, 7.000000, 8.000000, 0.000000, 0.000000, 0.000000, -85.757000, 97.781300, 0.062209, 1336.421263, 69494.106886, 137.089100, 14.000000, 7.000000, 7.000000, 0.000000, 0.000000, 0.000000, -67.140700, 69.948400, -4.148161, 3641.817922, 190269.308411, 204.474400, 14.000000, 7.000000, 7.000000, 0.000000, 0.000000, 0.000000, -84.719400, 119.755000, 0
