A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-5.34684E+002	-4.34584E+002	7.80297E+002	-8.30103E+000	2.12409E+001	1.83111E+001
-1.23148E+003	-1.90924E+002	3.76476E+002	9.47295E+001	1.12796E+002	2.44148E-001
-9.41923E+002	1.85553E+001	7.81274E+001	9.23490E+001	-1.80059E+001	1.55034E+001
-9.88311E+002	-4.98062E+001	-1.17191E+002	-1.17801E+001	-1.90680E+002	1.83111E+001
-2.95907E+002	-3.75011E+002	-4.80972E+002	4.60219E+001	-7.69372E+002	1.31840E+001
1.47856E+003	-1.16214E+002	-8.63796E+002	1.84942E+002	-1.10593E+003	8.90530E+001
2.29499E+003	-6.83615E+000	-4.58998E+001	1.23905E+002	-9.06766E+002	1.37761E+002
1.84820E+003	-9.27763E+000	-6.05487E+001	-2.19123E+001	-3.21055E+002	8.65505E+001
1.39213E+003	-1.80181E+002	1.25980E+002	-1.20670E+002	-2.24006E+001	4.60219E+001
1.69243E+003	-1.74810E+002	5.91327E+002	-5.92669E+001	1.15482E+002	1.40996E+001
1.21488E+003	-2.19733E+002	5.62029E+002	-4.46791E+001	4.67910E+002	-1.25126E+001
1.46489E+003	-3.09580E+002	8.80398E+002	-8.17286E+001	7.73400E+002	6.79342E+001
1.26713E+003	-2.27058E+002	4.13099E+002	-1.07425E+001	9.35942E+002	1.34342E+002
3.90637E+001	-1.35746E+002	9.08231E+001	6.10981E+001	7.15598E+002	9.25932E+001
-1.00735E+003	1.70904E+001	-4.24818E+001	1.15055E+002	2.72652E+002	-8.54518E+000
-1.22758E+003	-2.34382E+001	8.83816E+001	2.56355E+001	6.07318E+001	-1.17191E+001
-8.48170E+002	-2.97861E+001	-2.74911E+002	-3.11289E+000	-2.47322E+002	-1.16581E+001
3.24717E+002	-2.52937E+002	-4.46791E+002	1.70293E+001	-8.16065E+002	-2.91147E+001
2.37507E+003	-5.81072E+001	-3.45714E+002	7.28782E+001	-1.13120E+003	2.42927E+001
2.44148E+003	-1.28910E+002	6.69454E+002	-2.80770E+001	-8.28883E+002	3.23496E+000
1.18021E+003	-1.35258E+002	4.53627E+002	-8.81985E+001	-2.41279E+002	-1.91046E+001
1.36869E+003	-2.44148E+000	2.65145E+002	-4.70595E+001	-2.06915E+001	2.20344E+001
1.20121E+003	-1.08402E+002	3.70617E+002	-1.03763E+000	1.00772E+002	-7.62963E+000
9.99054E+002	-1.88971E+002	5.09781E+002	-1.53203E+001	3.70556E+002	1.44047E+001
1.40776E+003	-1.96783E+002	7.50511E+002	-4.80972E+001	6.52058E+002	8.71609E+001
1.30375E+003	-1.25492E+002	5.30290E+002	-4.54115E+001	8.94253E+002	1.11454E+002
3.85754E+001	-1.54302E+002	1.16214E+002	-2.86874E+001	8.49269E+002	7.17795E+001
-1.33451E+003	-1.81646E+002	2.39265E+001	2.22175E+001	3.79406E+002	2.25837E+000
-1.12796E+003	-1.52837E+002	4.35560E+002	3.03964E+001	1.67241E+001	2.38044E+000
-7.54418E+002	-6.10370E+001	1.98737E+002	3.96741E+000	-8.31324E+001	1.32450E+001
-5.11734E+002	-2.16803E+002	-2.50984E+002	-9.76592E-001	-5.03800E+002	-4.85244E+001
1.36528E+003	-1.09867E+002	-3.20811E+002	8.98465E+001	-1.12235E+003	-5.38957E+001
2.46199E+003	6.88498E+001	6.64083E+001	1.14261E+002	-1.09226E+003	-1.64800E+001
1.65874E+003	-1.65532E+002	7.41234E+002	-3.47911E+001	-4.54726E+002	-3.57677E+001
9.29716E+002	-7.08029E+001	5.85955E+001	-6.67745E+001	-1.40385E+000	5.49333E-001
1.48979E+003	-3.71105E+001	4.50697E+002	-2.71615E+001	4.12610E+001	1.29398E+001
9.09696E+002	-1.74322E+002	4.72182E+002	-2.07526E+000	2.76009E+002	-1.08036E+001
1.21879E+003	-1.94830E+002	7.43675E+002	-6.25019E+001	6.16657E+002	8.09351E+001
1.23148E+003	-1.46489E+002	6.24531E+002	-8.64895E+001	8.84793E+002	1.44169E+002
3.65246E+002	-1.87506E+002	4.96109E+002	-7.33665E+001	8.26807E+002	1.24332E+002
-7.43675E+002	-1.70904E+002	1.95318E+002	1.67241E+001	3.97534E+002	2.95419E+001
-1.07083E+003	-1.96783E+002	3.23252E+002	4.19324E+001	1.26347E+001	-2.71615E+001
-8.93582E+002	-2.03619E+002	1.27445E+002	-3.90637E+000	-2.00201E+002	-2.49031E+001
2.62703E+002	-2.33406E+002	4.54115E+001	1.86163E+001	-7.75170E+002	-7.24509E+001
1.95758E+003	6.05487E+001	-4.54115E+001	1.79022E+002	-1.22788E+003	-9.39360E+001
2.44783E+003	8.25220E+001	5.35173E+002	1.09256E+002	-8.30897E+002	-6.12812E+001
5.47868E+002	-2.03619E+002	1.41118E+002	-6.93991E+001	-1.10843E+002	-6.30512E+001
1.25687E+003	2.39265E+001	3.68175E+002	-2.89926E+001	-2.67953E+001	1.33061E+001
9.47783E+002	-6.78732E+001	1.31352E+002	2.66121E+001	1.07791E+002	-1.65410E+001
1.09281E+003	-1.53813E+002	5.41032E+002	-2.51473E+001	3.97168E+002	2.28889E+001
1.44487E+003	-1.70904E+002	8.23756E+002	-9.41801E+001	7.46605E+002	1.06815E+002
1.33256E+003	-1.20121E+002	7.74926E+002	-8.20338E+001	8.96451E+002	1.35502E+002
6.05487E+001	-1.19633E+002	2.73446E+002	-1.81280E+001	7.29759E+002	7.29392E+001
-9.32646E+002	-1.42582E+002	2.53426E+002	4.41908E+001	2.82601E+002	-9.82696E+000
-1.10062E+003	-1.41118E+002	2.36824E+002	3.30821E+001	2.39875E+001	-1.72735E+001
-1.04007E+003	-1.51860E+002	-1.87994E+002	-2.44148E+000	-2.46162E+002	-1.59917E+001
2.00201E+001	-3.70128E+002	-2.13385E+002	5.44450E+001	-9.09513E+002	-3.74767E+001
1.54595E+003	-1.33305E+002	-8.41823E+002	2.37922E+002	-1.20292E+003	5.51164E+001
2.62557E+003	9.08231E+001	-3.34971E+002	1.05716E+002	-7.03207E+002	1.35441E+002
1.31254E+003	-3.49620E+002	1.92389E+002	-1.99591E+002	-5.90838E+001	2.56355E+001
1.19291E+003	-2.00201E+002	4.58998E+002	-9.56450E+001	3.05185E-001	-6.59200E+000
1.26566E+003	-1.03030E+002	4.01379E+002	1.15360E+001	4.91348E+001	-2.06305E+001
1.35014E+003	-2.28034E+002	6.14277E+002	1.42827E+001	3.29112E+002	-1.69683E+001
1.41459E+003	-2.17292E+002	5.67888E+002	-4.32142E+001	6.91977E+002	3.41197E+001
1.12210E+003	-1.53813E+002	4.92203E+002	-5.89618E+001	8.89981E+002	9.59502E+001
2.63680E+002	-1.04984E+002	1.60649E+002	-9.33866E+000	7.91650E+002	8.58180E+001
-8.56960E+002	-7.95923E+001	1.04984E+002	3.21665E+001	3.49376E+002	3.54015E+000
-1.00491E+003	-1.19144E+002	2.59285E+002	3.01523E+001	-1.95318E+001	-3.20444E+001
-7.68578E+002	-1.69439E+002	-3.90637E+001	-1.04373E+001	-3.01462E+002	-3.61950E+001
8.56960E+002	-2.06061E+002	3.46690E+001	3.16172E+001	-9.12687E+002	-6.25019E+001
2.11383E+003	3.75988E+001	-1.00101E+002	1.15421E+002	-1.09323E+003	-3.85144E+001
1.87652E+003	-1.62603E+002	6.51387E+002	-2.40486E+001	-6.28437E+002	-2.30720E+001
7.85669E+002	-2.54891E+002	2.68075E+002	-7.06198E+001	-1.30314E+002	-2.92978E+000
1.64312E+003	-8.54518E+001	4.38978E+002	-2.78939E+001	-3.87585E+001	4.62050E+001
1.27641E+003	-2.20710E+002	4.71206E+002	3.05185E+000	1.72491E+002	-1.14750E+001
1.11087E+003	-2.71981E+002	6.14765E+002	-2.58797E+001	4.75723E+002	2.30720E+001
1.43510E+003	-2.39753E+002	9.01883E+002	-5.96332E+001	7.80175E+002	1.14322E+002
1.17045E+003	-1.65532E+002	5.16129E+002	-3.35704E+001	9.69512E+002	1.51860E+002
-2.59774E+002	-1.01077E+002	1.22074E+001	1.01932E+001	7.15598E+002	8.51466E+001
-1.22318E+003	-1.56255E+002	1.07425E+002	9.28373E+001	8.47804E+001	-3.38755E+001
-1.05081E+003	-1.14261E+002	-8.78933E+000	5.84735E+001	-1.80242E+002	-2.59407E+001
-3.34971E+002	-2.53914E+002	-2.26569E+002	1.89215E+000	-5.90533E+002	-2.27058E+001
1.34086E+003	-8.93582E+001	-1.32817E+002	1.30070E+002	-1.13321E+003	-2.38044E+001
1.97174E+003	-8.30103E+000	1.01077E+002	1.35807E+002	-9.38261E+002	2.34993E+001
1.76959E+003	-5.07828E+001	2.83212E+002	1.22074E+000	-3.16233E+002	2.15461E+001
1.14701E+003	-1.36723E+002	1.04984E+002	-7.00705E+001	3.46690E+001	5.67644E+000
1.54790E+003	-1.08402E+002	6.50899E+002	-4.41908E+001	1.61077E+002	7.20237E+000
1.20121E+003	-1.85064E+002	7.68090E+002	-6.96432E+001	5.72771E+002	1.91046E+001
1.03030E+003	-2.04108E+002	7.12424E+002	-7.08029E+001	8.29188E+002	8.72219E+001
6.85568E+002	-9.32646E+001	2.47078E+002	-3.37535E+001	8.27662E+002	1.16642E+002
-2.75887E+002	-1.14750E+002	2.72958E+002	-1.32450E+001	5.50615E+002	5.02335E+001
-1.06156E+003	-1.85553E+002	3.44737E+002	3.77819E+001	1.85064E+002	-2.80770E+001
-1.21293E+003	-2.03131E+002	3.98938E+002	4.94400E+000	4.91348E+001	-1.14750E+001
-9.22391E+002	-1.54302E+002	1.02054E+002	-1.34281E+001	-1.47893E+002	-4.15052E+000
-3.78918E+002	-2.77841E+002	-9.47295E+001	2.11798E+001	-6.78549E+002	-6.18915E+001
1.45708E+003	-1.48930E+002	-6.36250E+002	1.57231E+002	-1.14328E+003	-1.95318E+001
2.65047E+003	6.78732E+001	-3.33995E+002	1.14200E+002	-9.25138E+002	6.12812E+001
1.48442E+003	-3.72570E+002	9.38505E+002	-1.84576E+002	-3.02744E+002	9.76592E-001
1.05033E+003	-1.79205E+002	4.28724E+002	-7.18406E+001	-1.42827E+001	3.47911E+000
1.46879E+003	-8.59401E+001	3.28623E+002	2.33772E+001	3.84533E+001	4.63881E+000
1.07620E+003	-2.46101E+002	5.27848E+002	2.08136E+001	2.54036E+002	-1.57476E+001
1.34281E+003	-2.97861E+002	8.34498E+002	-3.73547E+001	5.90289E+002	5.40788E+001
1.35160E+003	-2.42683E+002	7.49535E+002	-5.05997E+001	8.98648E+002	1.44658E+002
6.91427E+002	-9.81475E+001	2.78817E+002	8.66726E+000	8.40541E+002	1.35319E+002
-5.91815E+002	-5.12711E+001	-7.86157E+001	6.70797E+001	4.00769E+002	8.54518E+000
-1.10160E+003	-1.04007E+002	-1.56255E+001	4.53505E+001	6.71407E+000	-5.31022E+001
-9.78057E+002	-2.45125E+002	-1.10355E+002	-1.23295E+001	-3.37474E+002	-5.90838E+001
7.61742E+002	-2.76376E+002	2.40242E+002	3.06406E+001	-9.31608E+002	-5.75579E+001
1.85846E+003	2.34382E+001	-1.34281E+002	1.70049E+002	-1.07523E+003	-2.90536E+001
1.84918E+003	-3.46690E+001	1.68950E+002	3.26548E+001	-6.16962E+002	9.03348E+000
1.04105E+003	-2.86630E+002	5.24430E+002	-1.08463E+002	-1.35929E+002	1.89825E+001
1.44487E+003	-1.18168E+002	2.87118E+002	-2.71615E+001	-7.62963E+000	3.85144E+001
1.22904E+003	-2.62703E+002	5.39567E+002	-5.85955E+000	1.36906E+002	9.15555E-001
1.26127E+003	-3.01279E+002	6.77755E+002	-3.35093E+001	4.77432E+002	4.41908E+001
1.41020E+003	-3.95032E+002	1.06204E+003	-3.46690E+001	7.18711E+002	1.16581E+002
1.18216E+003	-1.95318E+002	4.68764E+002	3.82092E+001	8.09046E+002	1.43742E+002
2.65145E+002	-4.78530E+001	1.11332E+002	5.26749E+001	6.44795E+002	7.56249E+001
-8.32057E+002	-8.88699E+001	9.03348E+001	5.15763E+001	2.94198E+002	-2.61849E+001
-1.07767E+003	-1.70904E+002	3.11533E+002	1.70293E+001	5.18204E+001	-3.91247E+001
-1.07376E+003	-1.66997E+002	-1.08890E+002	-1.08036E+001	-1.23417E+002	-1.72124E+001
-2.47566E+002	-3.34483E+002	-7.18284E+002	4.88296E+000	-6.68600E+002	-3.77209E+001
2.16071E+003	-3.28623E+002	-7.68578E+002	1.07486E+002	-1.17185E+003	3.67443E+001
3.41173E+003	-3.85754E+001	2.14362E+002	-2.69784E+001	-8.44813E+002	8.99686E+001
1.21879E+003	-6.81173E+002	1.50639E+003	-2.13630E+002	-2.67159E+002	-6.55538E+001
1.18949E+003	-7.03146E+001	-8.30103E+001	4.10779E+001	-5.92059E+001	-2.80770E+001
1.29545E+003	-1.79205E+002	2.52449E+002	-2.44148E+000	2.09357E+001	-1.72124E+001
9.67315E+002	-2.35359E+002	5.13199E+002	-1.39164E+001	2.59774E+002	-1.65410E+001
1.23881E+003	-3.74035E+002	8.83816E+002	-3.11289E+001	5.80828E+002	6.14032E+001
1.58013E+003	-2.25593E+002	5.32243E+002	2.81991E+001	8.16858E+002	1.21158E+002
8.00317E+002	-5.61541E+001	3.75988E+001	1.54424E+001	8.47804E+002	9.02738E+001
-6.23554E+002	-7.61742E+001	-9.66826E+001	2.33772E+001	4.57228E+002	-1.58086E+001
-9.50713E+002	-2.07038E+002	5.44450E+002	1.17191E+001	7.64794E+001	-5.96942E+001
-1.21928E+003	-2.54891E+002	9.37529E+001	-9.64385E+000	-1.22379E+002	-4.52895E+001
-2.62703E+002	-4.04309E+002	1.57720E+002	2.07526E+001	-7.07724E+002	-4.99283E+001
1.57573E+003	-1.07425E+002	-5.20035E+002	1.92694E+002	-1.09091E+003	7.08029E+000
2.54353E+003	4.29701E+001	1.85553E+001	4.65102E+001	-7.85974E+002	5.93890E+001
1.15287E+003	-4.50209E+002	1.07913E+003	-1.74932E+002	-2.44331E+002	-9.46074E+000
1.13724E+003	-1.80670E+002	4.92203E+002	-2.07526E+001	-2.69784E+001	1.59917E+001
1.51665E+003	-2.25105E+002	6.35762E+002	2.13019E+001	1.43498E+002	1.21464E+001
1.04447E+003	-2.73934E+002	5.47868E+002	-5.37126E+000	4.25855E+002	5.67644E+000
1.16507E+003	-2.77841E+002	7.87133E+002	-3.11899E+001	6.20380E+002	6.54317E+001
8.97488E+002	-1.28422E+002	3.95520E+002	1.89215E+000	7.49290E+002	9.30815E+001
2.14362E+002	-1.03519E+002	2.30964E+002	-3.35704E+000	6.82821E+002	6.15864E+001
-8.36940E+002	-1.49907E+002	1.37700E+002	2.62459E+000	3.70190E+002	-1.11698E+001
-1.20609E+003	-2.45613E+002	2.23151E+002	6.65304E+000	-2.74056E+001	-4.72427E+001
-8.74538E+002	-3.69640E+002	2.35359E+002	2.44148E-001	-4.21827E+002	-4.29701E+001
5.70818E+002	-2.87118E+002	5.90838E+001	1.12064E+002	-9.23551E+002	-2.24616E+001
1.39018E+003	-1.47954E+002	-9.39482E+002	2.34260E+002	-9.73418E+002	5.36515E+001
2.25202E+003	-2.00690E+002	-1.04007E+002	-1.09256E+001	-5.72893E+002	1.28544E+002
1.99615E+003	-3.79894E+002	9.14579E+002	-2.26020E+002	-1.04617E+002	5.74358E+001
1.27738E+003	-2.69539E+002	5.85955E+002	-8.15455E+001	1.00955E+002	-2.64290E+001
1.10453E+003	-2.96884E+002	8.06177E+002	-1.12918E+001	2.54891E+002	-3.38145E+001
1.13041E+003	-3.04209E+002	6.55293E+002	-6.16474E+000	5.65996E+002	2.34993E+001
9.97101E+002	-2.12897E+002	4.44349E+002	-3.47301E+001	8.11975E+002	9.76592E+001
3.44737E+002	-1.29398E+002	2.55867E+002	-5.25529E+001	7.78100E+002	1.24149E+002
-4.47279E+002	-1.28910E+002	2.97372E+002	-1.31840E+001	4.74502E+002	6.06708E+001
-1.05325E+003	-2.19733E+002	3.88684E+002	2.91757E+001	1.22196E+002	-1.36113E+001
-1.02396E+003	-1.70904E+002	1.14750E+002	2.56966E+001	-1.23173E+002	-1.90435E+001
-2.76376E+002	-2.78329E+002	1.89947E+002	2.44148E+001	-5.83148E+002	-5.31022E+001
1.04202E+003	-1.10843E+002	6.20136E+001	1.56133E+002	-1.03342E+003	-5.76800E+001
1.56157E+003	-1.09378E+002	1.18656E+002	1.18900E+002	-8.72158E+002	7.38548E+000
1.62798E+003	-1.39653E+002	4.54115E+002	1.30009E+001	-4.43922E+002	3.89416E+001
1.43510E+003	-1.17679E+002	7.56859E+001	-3.79040E+001	-5.82904E+001	2.98471E+001
1.39067E+003	-1.88971E+002	4.35560E+002	-5.99384E+001	9.55840E+001	-4.88296E-001
1.14505E+003	-2.34870E+002	7.01682E+002	-6.38447E+001	3.32652E+002	2.19733E+000
1.12943E+003	-2.70028E+002	8.34986E+002	-6.14032E+001	6.05365E+002	5.12711E+001
1.08060E+003	-1.91412E+002	5.36149E+002	-2.08136E+001	7.70165E+002	9.44853E+001
3.75011E+002	-1.23051E+002	2.32429E+002	-2.08747E+001	7.24143E+002	7.89209E+001
-5.19059E+002	-1.49907E+002	2.69051E+002	-8.42311E+000	4.43800E+002	1.51982E+001
-1.06742E+003	-2.12897E+002	2.72958E+002	2.97861E+001	1.31596E+002	-3.66222E+001
-1.17386E+003	-2.39265E+002	1.00589E+002	1.48930E+001	-1.35746E+002	-4.51674E+001
-5.90838E+002	-4.53627E+002	2.61727E+002	1.59917E+001	-6.22456E+002	-6.40889E+001
1.36821E+003	-1.11332E+002	-1.42582E+002	1.89215E+002	-1.07968E+003	-2.63680E+001
2.13337E+003	7.47093E+001	-1.17679E+002	1.41362E+002	-8.69655E+002	2.05084E+001
1.37211E+003	-2.39753E+002	8.28639E+002	-8.95413E+001	-3.67504E+002	-1.00711E+001
8.64772E+002	-1.99713E+002	2.23640E+002	-1.91656E+001	-8.71609E+001	8.60622E+000
1.54595E+003	-8.25220E+001	3.04209E+002	1.92877E+001	6.16474E+000	2.67342E+001
1.09525E+003	-2.19733E+002	3.04697E+002	-1.28178E+001	2.86691E+002	-1.25736E+001
1.09085E+003	-2.62215E+002	7.87622E+002	-8.77712E+001	5.46037E+002	4.26649E+001
1.34281E+003	-2.48054E+002	7.87133E+002	-2.10578E+001	7.25364E+002	1.05167E+002
7.25608E+002	-7.56859E+001	1.46977E+002	1.20853E+001	8.03980E+002	1.04862E+002
-2.60262E+002	-8.98465E+001	1.27445E+002	6.22578E+000	5.41581E+002	3.14951E+001
-1.04691E+003	-1.92389E+002	3.32530E+002	1.68462E+001	1.90191E+002	-3.84533E+001
-1.09915E+003	-1.95318E+002	2.73934E+002	4.15052E+000	-5.78021E+001	-3.77819E+001
-8.43776E+002	-3.30088E+002	2.14850E+002	-4.27259E+000	-3.94360E+002	-4.82803E+001
6.67989E+002	-3.19834E+002	1.54790E+002	1.03641E+002	-9.31181E+002	-4.76089E+001
1.91803E+003	5.42009E+001	-1.39653E+002	2.00873E+002	-9.82513E+002	2.33161E+001
1.81793E+003	-8.44752E+001	3.84777E+002	2.71615E+001	-5.63005E+002	2.51473E+001
1.08304E+003	-2.25593E+002	4.12122E+002	-7.44041E+001	-1.73956E+002	8.66726E+000
1.31693E+003	-1.06937E+002	2.60262E+002	-1.87384E+001	-3.16782E+001	2.03253E+001
1.26225E+003	-1.85064E+002	3.59874E+002	-8.85037E+000	1.49663E+002	-9.27763E+000
1.03568E+003	-2.10456E+002	5.37126E+002	-7.58690E+001	4.40870E+002	7.50755E+000
1.13480E+003	-3.44249E+002	1.02103E+003	-8.30103E+001	6.47359E+002	7.66625E+001
1.00833E+003	-1.96783E+002	6.14765E+002	-4.33363E+000	7.68151E+002	1.27445E+002
4.92203E+002	-1.27445E+002	5.02457E+002	2.42927E+001	6.63717E+002	9.77203E+001
-6.04999E+002	-8.49635E+001	1.03030E+002	7.34275E+001	3.92102E+002	6.46992E+000
-1.09867E+003	-1.58208E+002	4.19446E+002	3.75988E+001	1.06143E+002	-2.94198E+001
-9.83917E+002	-8.88699E+001	2.20222E+002	2.56355E+001	-5.16984E+001	-1.22074E+001
-7.69555E+002	-1.49419E+002	-7.95923E+001	1.67852E+001	-3.39183E+002	-3.28990E+001
4.14075E+002	-3.58898E+002	-1.61626E+002	7.07419E+001	-9.25016E+002	-4.16883E+001
2.02643E+003	-3.66222E+001	-3.40831E+002	1.49602E+002	-1.03598E+003	7.31834E+001
2.36287E+003	-7.47093E+001	4.84878E+002	-3.70495E+001	-6.22089E+002	7.40379E+001
1.18168E+003	-2.82235E+002	6.88986E+002	-1.07669E+002	-1.95013E+002	-1.52593E+001
1.02542E+003	-1.14750E+002	1.09867E+002	-2.38044E+000	-3.87585E+001	-2.99081E+000
1.41997E+003	-9.86358E+001	2.85165E+002	2.25837E+001	3.83312E+001	-3.72326E+000
1.00638E+003	-2.63192E+002	2.92489E+002	-1.44047E+001	2.93832E+002	-1.85553E+001
1.17679E+003	-2.42195E+002	8.51588E+002	-8.97244E+001	5.56352E+002	6.95212E+001
1.33256E+003	-2.68563E+002	8.81863E+002	-1.08036E+001	7.04245E+002	1.13163E+002
7.02170E+002	-1.79205E+002	4.35560E+002	1.59917E+001	7.90185E+002	1.14689E+002
-2.21198E+002	-6.93381E+001	1.35258E+002	4.82803E+001	5.49699E+002	6.76290E+001
-6.60665E+002	-4.78530E+001	3.47179E+002	4.66933E+001	2.01239E+002	-3.29600E+000
-1.02249E+003	-1.11332E+002	3.15439E+002	1.08646E+001	5.11490E+001	-2.87484E+001
-1.04495E+003	-1.38188E+002	2.51961E+002	-1.51982E+001	-1.48381E+002	-3.34483E+001
-2.40242E+002	-2.05573E+002	2.87606E+002	2.96030E+001	-5.85955E+002	-6.40889E+001
1.05863E+003	-5.81072E+001	9.86358E+001	1.20731E+002	-9.08353E+002	-4.06507E+001
1.67925E+003	-3.80871E+001	2.11921E+002	7.92871E+001	-8.19849E+002	1.89215E+000
1.56548E+003	-1.35746E+002	7.78344E+002	-6.34785E+000	-5.31205E+002	2.92978E+000
1.24516E+003	-1.03519E+002	2.61727E+002	-1.39164E+001	-1.29887E+002	1.31230E+001
1.53032E+003	-8.30103E+001	3.48643E+002	-2.07526E+001	2.84433E+001	1.05594E+001
1.31303E+003	-1.53813E+002	5.17594E+002	-5.54216E+001	2.68990E+002	-4.69985E+000
9.82452E+002	-2.17292E+002	7.94946E+002	-1.03580E+002	5.67827E+002	4.25428E+001
1.07767E+003	-1.84576E+002	7.53441E+002	-4.23597E+001	7.31529E+002	1.11393E+002
5.74725E+002	-1.41118E+002	5.05875E+002	-2.40486E+001	8.11609E+002	1.29521E+002
-4.05774E+002	-8.30103E+001	1.73345E+002	2.31941E+001	5.48418E+002	7.72118E+001
-8.14966E+002	-7.27561E+001	3.32041E+002	4.37025E+001	1.32084E+002	5.43229E+000
-9.42412E+002	-6.98263E+001	2.75887E+002	1.17801E+001	-4.30311E+001	-1.48930E+001
-6.82638E+002	-1.81646E+002	3.09091E+002	-2.44758E+001	-2.68136E+002	-3.23496E+001
4.14075E+002	-1.65044E+002	1.93854E+002	3.02133E+001	-7.62780E+002	-7.88598E+001
1.69439E+003	-1.66021E+001	3.89172E+002	1.21097E+002	-1.03604E+003	-6.86666E+001
1.70708E+003	-8.83816E+001	6.58223E+002	6.92160E+001	-7.56432E+002	-4.49232E+001
