A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-7.39769E+002	-2.82723E+002	7.53929E+002	-1.98370E+001	4.44960E+001	-9.76592E-001
-8.39869E+002	-3.50108E+002	8.79421E+002	-2.14240E+001	1.14750E+001	-1.83721E+001
-8.68191E+002	-4.07727E+002	8.97977E+002	-8.05689E+000	1.01932E+001	-1.94708E+001
-8.51588E+002	-3.75011E+002	7.71020E+002	7.26341E+000	4.14441E+001	-2.99081E+000
-7.82250E+002	-3.30576E+002	6.22089E+002	1.31840E+001	6.06708E+001	1.14750E+001
-7.37815E+002	-3.02744E+002	4.95132E+002	1.50761E+001	5.84735E+001	1.14139E+001
-7.13401E+002	-2.83212E+002	4.23841E+002	1.72124E+001	4.48012E+001	5.31022E+000
-6.90939E+002	-2.78817E+002	3.64757E+002	1.95318E+001	3.39366E+001	4.27259E-001
-6.84103E+002	-2.82723E+002	3.44249E+002	1.61138E+001	2.67342E+001	-6.71407E-001
-6.95334E+002	-2.96396E+002	3.13974E+002	1.07425E+001	2.53914E+001	2.62459E+000
-7.18772E+002	-3.33018E+002	2.99814E+002	9.39970E+000	1.04984E+001	8.30103E+000
-7.54906E+002	-3.72082E+002	3.51085E+002	8.05689E+000	-2.06305E+001	1.15970E+001
-7.50511E+002	-4.09680E+002	4.16028E+002	3.84533E+000	-5.79241E+001	1.19022E+001
-6.52364E+002	-4.17493E+002	4.53139E+002	7.81274E+000	-9.32035E+001	3.90637E+000
-5.10758E+002	-2.83700E+002	5.21989E+002	7.69066E+000	-1.10233E+002	1.46489E+000
-1.43657E+003	0.00000E+000	1.38920E+003	2.53304E+001	-7.44041E+001	-5.59709E+001
-1.81549E+003	-5.29313E+002	1.62944E+003	-1.68462E+001	-3.23496E+001	-2.19733E+000
-5.56658E+002	-8.34986E+001	4.35560E+002	4.74258E+001	-8.70998E+001	2.74056E+001
-1.32328E+002	3.41807E+001	2.62703E+002	8.08741E+001	-1.05777E+002	1.87994E+001
-1.68462E+002	5.71306E+001	4.42396E+002	3.17392E+001	-5.69475E+001	9.76592E+000
-5.46892E+002	-1.28422E+002	6.46992E+002	-3.19834E+001	-2.20344E+001	-1.46489E+000
-7.50999E+002	-3.09091E+002	8.75515E+002	-5.84124E+001	-2.53914E+001	2.74667E+000
-6.88498E+002	-3.44249E+002	9.62920E+002	-3.99792E+001	-3.46690E+001	6.83615E+000
-5.39567E+002	-3.81359E+002	9.34111E+002	-3.24717E+001	-5.23698E+001	1.40996E+001
-4.17982E+002	-3.72082E+002	8.72585E+002	-2.58797E+001	-8.22779E+001	2.00201E+001
-2.60262E+002	-3.97473E+002	1.00735E+003	-2.03864E+001	-1.14261E+002	1.78228E+001
-1.21586E+002	-3.34483E+002	1.10599E+003	-5.00504E+000	-1.06449E+002	2.19733E+001
-3.90637E+001	-3.04697E+002	1.06302E+003	4.21155E+000	-6.69576E+001	2.00201E+001
-6.64083E+001	-3.04697E+002	1.05911E+003	1.69073E+001	-2.22175E+001	6.04266E+000
-1.58696E+002	-2.52937E+002	1.01273E+003	2.61238E+001	4.51674E+000	-2.19733E+000
-2.37312E+002	-2.32429E+002	9.75127E+002	2.32551E+001	-7.93481E-001	-5.00504E+000
-2.64657E+002	-2.32917E+002	9.36064E+002	2.62459E+001	-1.09867E+001	-8.85037E+000
-2.71981E+002	-1.84576E+002	9.45341E+002	3.47301E+001	-2.19733E+001	-5.73748E+000
-2.01178E+002	-1.94342E+002	9.76592E+002	4.08338E+001	-2.54524E+001	-7.44652E+000
-2.14362E+002	-1.42094E+002	9.45830E+002	4.29701E+001	-2.14850E+001	-9.33866E+000
-1.66997E+002	-1.04007E+002	9.78545E+002	3.02744E+001	-5.15763E+001	-6.83615E+000
-5.42009E+001	-1.05960E+002	1.04398E+003	1.97760E+001	-6.49434E+001	1.83111E-001
-8.69167E+001	-9.86358E+001	9.75127E+002	2.14850E+001	-5.50554E+001	5.92059E+000
1.75787E+001	-6.78732E+001	9.99054E+002	1.36723E+001	-9.80865E+001	-6.71407E-001
2.24128E+002	-7.66625E+001	1.06644E+003	1.35502E+001	-1.02847E+002	-5.37126E+000
2.24616E+002	-4.29701E+001	1.00931E+003	3.40587E+001	-6.97653E+001	-1.64800E+001
2.67098E+002	-2.44148E+001	1.06888E+003	5.10880E+001	-6.65304E+001	-3.17392E+001
3.38878E+002	5.51775E+001	1.07669E+003	6.72628E+001	-5.76800E+001	-4.67544E+001
3.50597E+002	1.38676E+002	9.86358E+002	8.00806E+001	-3.30821E+001	-4.99893E+001
3.38878E+002	1.88971E+002	9.36552E+002	7.96533E+001	-1.43437E+001	-5.44450E+001
2.86630E+002	2.30476E+002	8.71609E+002	8.17286E+001	-6.10370E-002	-5.73138E+001
2.53426E+002	3.49132E+002	8.50612E+002	8.14844E+001	-8.36207E+000	-5.14542E+001
2.27546E+002	3.80383E+002	8.78933E+002	6.26240E+001	-1.70904E+000	-3.32041E+001
2.21686E+002	4.72182E+002	8.85769E+002	4.77309E+001	1.34281E+000	-2.61849E+001
1.80670E+002	4.29701E+002	8.14966E+002	2.14850E+001	1.95318E+000	-1.48320E+001
1.99225E+002	4.22864E+002	8.45241E+002	6.10370E+000	-1.83111E+000	-2.86874E+000
2.40242E+002	4.53627E+002	9.12626E+002	-3.11289E+000	4.63881E+000	3.05185E-001
2.30476E+002	4.42885E+002	8.85281E+002	-7.20237E+000	1.78838E+001	-1.22074E-001
2.46101E+002	4.71206E+002	8.11548E+002	-1.19022E+001	1.99591E+001	-1.52593E+000
2.71004E+002	4.98062E+002	8.46217E+002	-3.98572E+001	2.70394E+001	-5.92059E+000
1.23539E+002	5.22965E+002	9.88800E+002	-7.67235E+001	9.95514E+001	1.15970E+001
-6.25019E+001	3.64757E+002	8.55983E+002	-1.10599E+002	1.51616E+002	4.45570E+001
-1.51372E+002	1.52837E+002	6.66036E+002	-1.45024E+002	1.03397E+002	2.75277E+001
5.12711E+001	-1.62603E+002	1.38432E+003	-1.51311E+002	6.92770E+001	-2.30720E+001
-1.55766E+002	-2.07038E+002	1.32621E+003	-1.10599E+002	1.63701E+002	5.49333E+000
-3.84289E+002	-1.66997E+002	1.09378E+003	-7.92871E+001	9.69878E+001	1.34281E+001
-3.34483E+002	-2.16315E+002	1.06790E+003	-6.76901E+001	2.38044E+000	1.81280E+001
-2.81259E+002	-1.66021E+002	1.03519E+003	-3.07627E+001	2.50252E+000	1.69683E+001
-1.75787E+002	-1.61138E+002	8.83816E+002	-2.61849E+001	1.83111E-001	4.39467E+000
-1.29398E+002	-3.41807E+002	1.00101E+003	-4.43129E+001	4.82192E+000	-2.86874E+000
-1.91900E+002	-2.65633E+002	6.95822E+002	-3.39366E+001	7.28172E+001	2.42317E+001
-1.23539E+002	-2.67098E+002	7.49535E+002	-3.27769E+001	9.94293E+001	3.32652E+001
-2.22175E+002	-2.96884E+002	7.11936E+002	-3.13730E+001	1.50212E+002	4.82803E+001
-4.35560E+002	-2.89560E+002	6.83615E+002	-3.47911E+001	1.85125E+002	7.22678E+001
-6.29902E+002	-2.25593E+002	5.23453E+002	-3.57677E+001	1.96356E+002	1.09134E+002
-8.98953E+002	-5.81072E+001	3.36436E+002	2.92978E+000	2.01910E+002	1.16276E+002
-9.63408E+002	1.26957E+002	2.31941E+002	2.50252E+001	1.54973E+002	8.06909E+001
-8.93582E+002	1.61626E+002	2.28523E+002	-5.31022E+000	1.01871E+002	7.81274E+001
-8.88699E+002	1.09867E+002	2.53426E+002	-4.04065E+001	8.68557E+001	1.05411E+002
-9.52666E+002	1.49907E+002	2.37312E+002	-3.10678E+001	1.05228E+002	1.28544E+002
-9.54619E+002	3.69640E+002	1.18656E+002	1.01932E+001	1.01749E+002	1.43315E+002
-9.46318E+002	4.75600E+002	4.10169E+001	1.96539E+001	7.84326E+001	1.26164E+002
-9.46318E+002	5.37126E+002	-7.81274E+000	1.14750E+001	6.28071E+001	1.09378E+002
-9.29716E+002	6.66036E+002	1.07425E+001	-3.90637E+000	2.75277E+001	1.04129E+002
-8.10572E+002	6.01581E+002	6.20136E+001	-1.47710E+001	8.11792E+000	8.48415E+001
-8.29615E+002	5.90838E+002	5.46892E+001	6.10370E-001	1.47710E+001	7.00095E+001
-8.54518E+002	6.94357E+002	6.83615E+000	-1.28178E+000	8.24000E+000	5.09049E+001
-7.68578E+002	6.91427E+002	-9.76592E+000	-2.47810E+001	-1.19022E+001	3.17392E+001
-8.02271E+002	6.21601E+002	-4.88296E+000	-2.75887E+001	-1.98370E+001	1.61138E+001
-8.19849E+002	8.01782E+002	1.02542E+001	-8.72829E+000	-2.86874E+001	1.89825E+001
-7.56371E+002	8.68191E+002	1.31840E+001	-5.00504E+000	-4.14441E+001	8.17896E+000
-7.10959E+002	8.73562E+002	2.44148E+001	4.57778E+000	-3.73547E+001	4.15052E+000
-7.25608E+002	9.47295E+002	2.83212E+001	3.78430E+000	-3.25327E+001	3.96741E+000
-8.12525E+002	1.11576E+003	8.74050E+001	-2.80160E+001	-4.01013E+001	-2.38044E+001
-9.16044E+002	7.36351E+002	1.51860E+002	-8.11792E+001	-5.82293E+001	-1.19449E+002
-8.36940E+002	4.18470E+002	6.98263E+001	-4.90738E+001	-1.06021E+002	-1.55766E+002
-7.08029E+002	6.36250E+002	1.23051E+002	-3.95520E+001	-1.10599E+002	-1.40996E+002
-1.03568E+003	4.23841E+002	3.48643E+002	-4.51064E+001	-1.24393E+002	-1.59307E+002
-8.48659E+002	2.38777E+002	5.29801E+002	-7.31834E+001	-1.24088E+002	-1.26591E+002
-7.44163E+002	1.52837E+002	4.92691E+002	-7.58080E+001	-9.65606E+001	-1.28056E+002
-6.29902E+002	4.83413E+001	4.59487E+002	-4.59609E+001	-1.11026E+002	-1.51921E+002
-6.10858E+002	-5.66424E+002	9.12626E+002	-3.90027E+001	-1.18473E+002	-1.43803E+002
-4.45814E+002	-1.19633E+002	6.75802E+002	-2.52083E+001	-5.88397E+001	-5.43229E+000
-3.90149E+002	-1.28422E+002	6.54805E+002	-1.34281E+001	-3.83923E+001	-1.42827E+001
-4.54604E+002	-1.67486E+002	6.98263E+002	6.10370E-002	-2.48421E+001	-4.49843E+001
-4.79995E+002	-2.86630E+002	9.07254E+002	1.47710E+001	-1.36113E+001	-6.03046E+001
-5.60564E+002	-3.06162E+002	8.65261E+002	-4.57778E+000	2.10578E+001	-2.21564E+001
-5.94256E+002	-2.28034E+002	7.57836E+002	-1.90435E+001	2.30720E+001	1.40385E+000
-5.78631E+002	-3.13974E+002	8.04712E+002	-1.63579E+001	-6.59200E+000	-1.84332E+001
-5.56658E+002	-3.33506E+002	8.62331E+002	2.01422E+000	-4.02844E+000	-1.80059E+001
-5.19547E+002	-2.59774E+002	8.04712E+002	1.86163E+001	1.87994E+001	3.78430E+000
-6.55293E+002	-2.41218E+002	7.82739E+002	1.23905E+001	1.75787E+001	1.30009E+001
-6.69454E+002	-2.01666E+002	7.76879E+002	-1.34281E+000	-1.95318E+000	6.71407E-001
-6.24042E+002	-2.80282E+002	8.34986E+002	-6.28681E+000	-1.23905E+001	-1.34892E+001
-5.71306E+002	-2.25105E+002	7.73949E+002	-1.15970E+000	-8.24000E+000	-5.85955E+000
-5.81072E+002	-2.20222E+002	8.59401E+002	1.28788E+001	-1.37333E+001	7.32444E-001
-6.04999E+002	-2.16315E+002	8.01294E+002	2.43538E+001	-1.48320E+001	6.10370E+000
-5.08316E+002	-1.72369E+002	7.15842E+002	1.55034E+001	-2.42317E+001	-6.89718E+000
-4.45326E+002	-2.85653E+002	7.39769E+002	-1.22684E+001	-3.02744E+001	-7.50755E+000
-6.23554E+002	-3.33995E+002	9.01395E+002	-3.50352E+001	-2.36213E+001	3.71105E+001
-4.63393E+002	-1.87017E+002	7.52464E+002	-2.95419E+001	-5.29801E+001	-1.18412E+001
-4.07239E+002	-3.90637E+002	9.15555E+002	-4.51674E+001	-7.94702E+001	-2.77108E+001
-4.44838E+002	-3.97961E+002	1.02884E+003	-2.97250E+001	-4.07117E+001	4.43129E+001
-4.15052E+002	-2.32917E+002	8.27174E+002	7.32444E-001	-2.49031E+001	4.40687E+001
-3.37413E+002	-4.51674E+002	9.32157E+002	1.14750E+001	-3.24107E+001	1.23905E+001
-4.18958E+002	-3.54991E+002	1.00638E+003	4.29701E+001	2.80770E+001	2.89315E+001
-4.47768E+002	-9.61943E+001	8.16919E+002	3.65612E+001	2.63680E+001	-3.08847E+001
-4.11634E+002	-1.79693E+002	9.23368E+002	4.58998E+001	-3.46690E+001	-6.76290E+001
-5.12711E+002	-1.11820E+002	9.06278E+002	9.09452E+001	-2.31330E+001	-5.52995E+001
